Comment,Designator,Footprint,LCSC
470pF,"C5,C6",C_0603,C107092
FUSB302BMPX,U1,MLP_14,C132291
USB_OTG,J2,USB_Micro-B_10118193,C132562
USB-C_Female,J1,USB-C_Female_105450-0101,C134092
0.1uF,"C2,C4",C_0603,C1591
CONN_02X03,J3,Socket_Strip_Straight_2x03,C236051
1uF,C3,C_0805,C24123
10uF,C1,C_1206,C9807
4.7k,"R1,R2,R3",C_0603,C99782
